# boot-timeline.py --retro, tool sha256 05dd4a74c349be5e161b44900474dc6b4795186d112456ee39485a59e4214273, paths: bench/2026-09-23
# one record per line; columns unused by a record are empty; seconds
# records: loader seg lm kboot cell nothing fragment class? term1 term1cell reset scale scalefit
record	firmware	variant	class	image	directory	capture	quantity	from	to	seg_class	n	value	median	min	max	p90	argmax	ratio	slope	ci_lo	ci_hi	r	note
cell	rlxfw	loud	warm	A2C56BC8			rlxfw.initpost	b10	userinit	not-comparable	2		0.011735	0.011437	0.012033								
cell	rlxfw	loud	?	A2C56BC8			rlxfw.initpost	b10	userinit	not-comparable	0												
kboot	vendor	-	cold	-	bench/2026-09-23	bench/2026-09-23/M1-BOOT.log																	its own C-8 line; `init started: BusyBox v1.13.4`
seg	vendor	-	cold	-	bench/2026-09-23	bench/2026-09-23/M1-BOOT.log	loader.booting	booting	chipname	identical	1	0.347712											
seg	vendor	-	cold	-	bench/2026-09-23	bench/2026-09-23/M1-BOOT.log	loader.banner	booting	banner	identical	1	0.572643											
seg	vendor	-	cold	-	bench/2026-09-23	bench/2026-09-23/M1-BOOT.log	loader.esc	banner	autoboot	identical	1	5.121936											
seg	vendor	-	cold	-	bench/2026-09-23	bench/2026-09-23/M1-BOOT.log	rtkload.decompress	decomp	decomp_done	comparable	1	1.036909											
seg	vendor	-	cold	-	bench/2026-09-23	bench/2026-09-23/M1-BOOT.log	rtkload.total	jump	kentry	comparable	1	1.054713											
seg	vendor	-	cold	-	bench/2026-09-23	bench/2026-09-23/M1-BOOT.log	kernel.early	kentry	wlan	comparable	1	0.652201											
seg	vendor	-	cold	-	bench/2026-09-23	bench/2026-09-23/M1-BOOT.log	kernel.wlan	wlan	nic	comparable	1	4.529564											
seg	vendor	-	cold	-	bench/2026-09-23	bench/2026-09-23/M1-BOOT.log	kernel.nic	nic	fastpath	comparable	1	0.831993											
seg	vendor	-	cold	-	bench/2026-09-23	bench/2026-09-23/M1-BOOT.log	kernel.late	fastpath	userinit	comparable	1	0.970690											
seg	vendor	-	cold	-	bench/2026-09-23	bench/2026-09-23/M1-BOOT.log	kernel.total	kentry	userinit	comparable	1	6.984448											
seg	vendor	-	cold	-	bench/2026-09-23	bench/2026-09-23/M1-BOOT.log	user.ready	userinit	ready	not-comparable	1	18.136586											
seg	vendor	-	cold	-	bench/2026-09-23	bench/2026-09-23/M1-BOOT.log	boot.jump_to_ready	jump	ready	not-comparable	1	26.175747											
lm	vendor	-	cold	-	bench/2026-09-23	bench/2026-09-23/M1-BOOT.log	booting					11.534452											byte 14
lm	vendor	-	cold	-	bench/2026-09-23	bench/2026-09-23/M1-BOOT.log	chipname					11.882164											byte 15
lm	vendor	-	cold	-	bench/2026-09-23	bench/2026-09-23/M1-BOOT.log	ramsize					11.888043											byte 34
lm	vendor	-	cold	-	bench/2026-09-23	bench/2026-09-23/M1-BOOT.log	banner					12.107095											byte 51
lm	vendor	-	cold	-	bench/2026-09-23	bench/2026-09-23/M1-BOOT.log	autoboot					17.229031											byte 118
lm	vendor	-	cold	-	bench/2026-09-23	bench/2026-09-23/M1-BOOT.log	jump					17.229031											byte 118
